43,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,realtimeDownlink,uptime,32,Sec,0,NONE,0,0,0,uptime,This is the IHU uptime in seconds since the last reset
1,realtimeDownlink,resetCnt,16,Resets,0,NONE,0,0,0,resetCnt,Total number of times IHU has reset since initial on-orbit startup
2,realtimeDownlink,protocolVersion,8,-,0,NONE,0,0,0,Downlink Spec Version,LS4Bits = minor & MS3bits=major
3,realtimeDownlink,versionMajor,8,-,0,NONE,0,0,0,Software Major Version,None
4,realtimeDownlink,versionMinor,8,-,0,NONE,0,0,0,Sofwtare Minor Version,None
5,realtimeDownlink,spacecraftMode,8,-,10,Telem & Control,1,1,0,Spacecraft Mode,The spacecraft mode e.g. SAFE MODE
6,realtimeDownlink,FSAvailable,32,KB,11,File Storage,4,1,0,Available,Space left in the file system
7,realtimeDownlink,FSTotalFiles,16,-,12,File Storage,4,2,0,Total Files,Total files in the file system
8,realtimeDownlink,UploadQueueBytes,16,-,2,File Storage,4,3,0,Bytes Queued,Bytes reserved by the upload queue
9,realtimeDownlink,UploadQueueFiles,8,-,2,File Storage,4,4,0,Files Queued,Files in the tmp folder queued to upload
10,realtimeDownlink,TXPower,8,mW,4,Radio,2,2,0,RF Power,TX RF Power
11,realtimeDownlink,TXPwrMode,8,-,5,Radio,2,1,0,Tx Mode,TX Power Mode
12,realtimeDownlink,RX0PwrMode,8,-,5,Radio,2,3,0,Rx0 Mode,RX0 Power Mode
13,realtimeDownlink,RX1PwrMode,8,-,5,Radio,2,4,0,Rx1 Mode,RX1Power Mode
14,realtimeDownlink,RX2PwrMode,8,-,5,Radio,2,5,0,Rx2 Mode,RX2 Power Mode
15,realtimeDownlink,RX3PwrMode,8,-,5,Radio,2,6,0,Rx3 Mode,RX3 Power Mode
16,realtimeDownlink,RX0RSSI,8,dBm,6,Radio,2,7,0,Rx0 RSSI,RSSI for Receiver 0
17,realtimeDownlink,RX1RSSI,8,dBm,6,Radio,2,8,0,Rx1 RSSI,RSSI for Receiver 1
18,realtimeDownlink,RX2RSSI,8,dBm,6,Radio,2,9,0,Rx2 RSSI,RSSI for receiver 2
19,realtimeDownlink,RX3RSSI,8,dBm,6,Radio,2,10,0,Rx3 RSSI,RSSI for receiver 3
20,realtimeDownlink,IHUTemp,8,C,9,Computer,3,1,0,Temperature,Computer temperature
21,realtimeDownlink,PATemp,8,C,9,Radio,2,11,0,PA Temp,Power Amplifier Temperature
22,realtimeDownlink,PowerTemp,8,C,9,Computer,3,5,0,Power Temp,Power Supply Temperature
23,realtimeDownlink,pad202,3,-,0,NONE,0,0,0,Pad155,Pad
24,realtimeDownlink,DigiEnabled,1,-,1,File Storage,4,7,0,Digi Enabled,Packet Digipeater is enabled
25,realtimeDownlink,uplinkEnabled,1,-,1,File Storage,4,6,0,Uplink Enabled,Pacsat file upload is available for use
26,realtimeDownlink,pbEnabled,1,-,1,File Storage,4,5,0,PB Enabled,Pacsat Broadcast is available for use
27,realtimeDownlink,AutoSafeModeActive,1,-,1,Computer,3,3,0,Auto Safe,Autosafe Mode Active
28,realtimeDownlink,AutoSafeAllowed,1,-,1,Computer,3,2,0,Auto Safe Allowed,Autosafe Allowed
29,realtimeDownlink,LogLevel,8,-,2,Telem & Control,1,7,0,Log Level,The current logging level
30,realtimeDownlink,TimePeriod,16,s,2,Telem & Control,1,2,0,Time Period,The period between time packets
31,realtimeDownlink,TelemPeriod,16,s,2,Telem & Control,1,3,0,Telem Period,The period between telemetry packets
32,realtimeDownlink,WodPeriod,16,s,2,Telem & Control,1,4,0,WOD Period,The time between WOD saves
33,realtimeDownlink,MaxWodFileSize,16,Bytes,2,Telem & Control,1,5,0,Max WOD Size,The maximum size of a WOD file before it is added to the directory
34,realtimeDownlink,MaxExpFileSize,16,Bytes,2,Telem & Control,1,6,0,Max EXP Size,The maximum size of a experiment file before it is added to the directory
35,realtimeDownlink,PbStatusPeriod,16,s,2,File Storage,4,8,0,PB Status Period,The period between Pacsat Broadcast Status packets
36,realtimeDownlink,PbTimeout,16,s,2,File Storage,4,9,0,PB Timeout,The maximum time a client can be on the PB
37,realtimeDownlink,UplinkStatusPeriod,16,s,2,File Storage,4,10,0,Uplink Status Period,The period between uplink status packets
38,realtimeDownlink,swCmdCnt,8,-,0,Telem & Control,1,10,0,SW Cmd Cnt,Number of software commands since last reset
39,realtimeDownlink,TLMresets,8,-,0,Telem & Control,1,8,0,Min/Max Resets,Number of times command stations reset stored telemetry
40,realtimeDownlink,swCmds,32,-,0,Telem & Control,1,9,0,Cmd Ring,Command Ring showing last 4 commands
41,realtimeDownlink,MRAMstatus,8,-,0,Computer,3,4,0,MRAM Status,Status of the MRAM
42,realtimeDownlink,Pad5,32,-,0,NONE,0,0,0,Pad,Pad
